Date : 2023-09-27 19:49:18
Directory : /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club
Total : 106 files,  2499 codes, 131 comments, 498 blanks, all 3128 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |        104 |      2,481 |        131 |        498 |      3,110 |
| XML        |          1 |         16 |          0 |          0 |         16 |
| JSON       |          1 |          2 |          0 |          0 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                 |        106 |      2,499 |        131 |        498 |      3,128 |
| . (Files)                                                                                                                                                         |          1 |          2 |          0 |          0 |          2 |
| src                                                                                                                                                               |        105 |      2,497 |        131 |        498 |      3,126 |
| src (Files)                                                                                                                                                       |          1 |         27 |          0 |         -1 |         26 |
| src/assets                                                                                                                                                        |          1 |         16 |          0 |          0 |         16 |
| src/components                                                                                                                                                    |          9 |        165 |        137 |         54 |        356 |
| src/components/floating-add-button                                                                                                                                |          1 |         11 |          0 |          4 |         15 |
| src/components/floating-back-button                                                                                                                               |          2 |         77 |          0 |         19 |         96 |
| src/components/tables                                                                                                                                             |          6 |         77 |        137 |         31 |        245 |
| src/functions                                                                                                                                                     |          3 |         29 |          0 |          0 |         29 |
| src/hooks                                                                                                                                                         |          8 |        114 |          0 |         21 |        135 |
| src/routes                                                                                                                                                        |         58 |      1,321 |          1 |        290 |      1,612 |
| src/routes/account                                                                                                                                                |          3 |         25 |          0 |         -7 |         18 |
| src/routes/account (Files)                                                                                                                                        |          2 |        -12 |          0 |         -4 |        -16 |
| src/routes/account/account-hooks                                                                                                                                  |          1 |         37 |          0 |         -3 |         34 |
| src/routes/add-child-info                                                                                                                                         |          6 |        238 |          0 |         63 |        301 |
| src/routes/add-child-info (Files)                                                                                                                                 |          3 |        133 |          0 |         36 |        169 |
| src/routes/add-child-info/add-child-info-hooks                                                                                                                    |          3 |        105 |          0 |         27 |        132 |
| src/routes/book-a-session                                                                                                                                         |         25 |        326 |          0 |         53 |        379 |
| src/routes/book-a-session (Files)                                                                                                                                 |          1 |          6 |          0 |         -4 |          2 |
| src/routes/book-a-session/book-a-session-hooks                                                                                                                    |          8 |        168 |          0 |         22 |        190 |
| src/routes/book-a-session/book-a-session-hooks (Files)                                                                                                            |          7 |        145 |          0 |         22 |        167 |
| src/routes/book-a-session/book-a-session-hooks/swals                                                                                                              |          1 |         23 |          0 |          0 |         23 |
| src/routes/book-a-session/sections                                                                                                                                |         16 |        152 |          0 |         35 |        187 |
| src/routes/book-a-session/sections (Files)                                                                                                                        |         11 |        131 |          0 |         28 |        159 |
| src/routes/book-a-session/sections/buttons                                                                                                                        |          5 |         21 |          0 |          7 |         28 |
| src/routes/child-info                                                                                                                                             |          8 |        327 |          1 |         70 |        398 |
| src/routes/child-info (Files)                                                                                                                                     |          5 |        254 |          0 |         45 |        299 |
| src/routes/child-info/child-info-hooks                                                                                                                            |          3 |         73 |          1 |         25 |         99 |
| src/routes/close-account                                                                                                                                          |          1 |         -3 |          0 |          0 |         -3 |
| src/routes/delete-child-info                                                                                                                                      |          5 |        138 |          0 |         44 |        182 |
| src/routes/delete-child-info (Files)                                                                                                                              |          3 |         63 |          0 |         23 |         86 |
| src/routes/delete-child-info/hooks                                                                                                                                |          2 |         75 |          0 |         21 |         96 |
| src/routes/edit-child-info                                                                                                                                        |          7 |        261 |          0 |         66 |        327 |
| src/routes/edit-child-info (Files)                                                                                                                                |          3 |        118 |          0 |         29 |        147 |
| src/routes/edit-child-info/hooks                                                                                                                                  |          4 |        143 |          0 |         37 |        180 |
| src/routes/navigation                                                                                                                                             |          3 |          9 |          0 |          1 |         10 |
| src/session-prices                                                                                                                                                |          1 |         -5 |          0 |         -1 |         -6 |
| src/store                                                                                                                                                         |         17 |        500 |        -20 |         79 |        559 |
| src/store (Files)                                                                                                                                                 |          1 |         10 |          0 |          0 |         10 |
| src/store/add-child-info                                                                                                                                          |          2 |        102 |          0 |         14 |        116 |
| src/store/book-session                                                                                                                                            |          3 |         28 |          0 |          3 |         31 |
| src/store/date-and-time                                                                                                                                           |          2 |         22 |          0 |          8 |         30 |
| src/store/delete-child-info                                                                                                                                       |          2 |         95 |          0 |         16 |        111 |
| src/store/edit-child-info                                                                                                                                         |          2 |         95 |          0 |         16 |        111 |
| src/store/get-users-children                                                                                                                                      |          2 |         77 |          0 |         14 |         91 |
| src/store/session-types-and-prices                                                                                                                                |          2 |         71 |          0 |         11 |         82 |
| src/store/user                                                                                                                                                    |          1 |          0 |        -20 |         -3 |        -23 |
| src/strings                                                                                                                                                       |          1 |         38 |          0 |         -1 |         37 |
| src/styles                                                                                                                                                        |          6 |        292 |         13 |         57 |        362 |
| src/styles/buttons                                                                                                                                                |          1 |         76 |          0 |         14 |         90 |
