Date : 2023-09-27 19:49:18
Directory : /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club
Total : 309 files,  13221 codes, 280 comments, 2444 blanks, all 15945 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |        298 |     12,849 |        276 |      2,430 |     15,555 |
| XML        |          5 |        222 |          4 |          2 |        228 |
| JSON       |          2 |         83 |          0 |          2 |         85 |
| CSS        |          3 |         46 |          0 |          9 |         55 |
| HTML       |          1 |         21 |          0 |          1 |         22 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                               |        309 |     13,221 |        280 |      2,444 |     15,945 |
| . (Files)                                                                                                                                                                       |          3 |         90 |         12 |          3 |        105 |
| netlify                                                                                                                                                                         |          3 |         70 |          0 |         16 |         86 |
| netlify/functions                                                                                                                                                               |          3 |         70 |          0 |         16 |         86 |
| public                                                                                                                                                                          |          1 |         32 |          0 |          1 |         33 |
| src                                                                                                                                                                             |        302 |     13,029 |        268 |      2,424 |     15,721 |
| src (Files)                                                                                                                                                                     |          7 |        415 |         46 |         46 |        507 |
| src/assets                                                                                                                                                                      |          5 |        222 |          4 |          2 |        228 |
| src/components                                                                                                                                                                  |         25 |        539 |        137 |        133 |        809 |
| src/components/custom-button                                                                                                                                                    |          1 |          5 |          0 |          3 |          8 |
| src/components/errors                                                                                                                                                           |          2 |         47 |          0 |         11 |         58 |
| src/components/floating-add-button                                                                                                                                              |          1 |         11 |          0 |          4 |         15 |
| src/components/floating-back-button                                                                                                                                             |          2 |         77 |          0 |         19 |         96 |
| src/components/loader                                                                                                                                                           |          1 |         10 |          0 |          3 |         13 |
| src/components/magic-url-button                                                                                                                                                 |          1 |         19 |          0 |          6 |         25 |
| src/components/private-routes                                                                                                                                                   |          1 |          9 |          0 |          5 |         14 |
| src/components/progressive-image                                                                                                                                                |          1 |         26 |          0 |          7 |         33 |
| src/components/social-logins                                                                                                                                                    |          8 |        239 |          0 |         39 |        278 |
| src/components/social-logins (Files)                                                                                                                                            |          2 |         91 |          0 |         20 |        111 |
| src/components/social-logins/sections                                                                                                                                           |          6 |        148 |          0 |         19 |        167 |
| src/components/tables                                                                                                                                                           |          6 |         77 |        137 |         31 |        245 |
| src/components/wallet-balance                                                                                                                                                   |          1 |         19 |          0 |          5 |         24 |
| src/functions                                                                                                                                                                   |          5 |         52 |          0 |          8 |         60 |
| src/hooks                                                                                                                                                                       |         12 |        457 |          0 |         87 |        544 |
| src/routes                                                                                                                                                                      |        168 |      7,164 |          2 |      1,460 |      8,626 |
| src/routes/account                                                                                                                                                              |          6 |        211 |          0 |         45 |        256 |
| src/routes/account (Files)                                                                                                                                                      |          4 |         96 |          0 |         30 |        126 |
| src/routes/account/account-hooks                                                                                                                                                |          2 |        115 |          0 |         15 |        130 |
| src/routes/add-child-info                                                                                                                                                       |          6 |        238 |          0 |         63 |        301 |
| src/routes/add-child-info (Files)                                                                                                                                               |          3 |        133 |          0 |         36 |        169 |
