"filename", "language", "HTML", "CSS", "JavaScript", "XML", "JSON", "comment", "blank", "total"
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\index.html", "HTML", 21, 0, 0, 0, 0, 0, 1, 22
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\netlify\api-endpoints\api-endpoints.js", "JavaScript", 0, 0, 24, 0, 0, 0, 1, 25
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\netlify\functions\create-payment-intent.js", "JavaScript", 0, 0, 23, 0, 0, 0, 4, 27
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\netlify\functions\send-contact-form-message.js", "JavaScript", 0, 0, 26, 0, 0, 0, 4, 30
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\netlify\functions\send-email-balance-not-updated-error.js", "JavaScript", 0, 0, 25, 0, 0, 0, 4, 29
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\netlify\functions\send-email-booking-cancellation-confirmation.js", "JavaScript", 0, 0, 37, 0, 0, 0, 4, 41
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\netlify\functions\send-email-booking-confirmation.js", "JavaScript", 0, 0, 37, 0, 0, 0, 4, 41
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\netlify\functions\send-email-booking-not-added-to-database.js", "JavaScript", 0, 0, 35, 0, 0, 0, 4, 39
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\netlify\functions\send-email-reset-session-spaces-and-balance-error.js", "JavaScript", 0, 0, 35, 0, 0, 0, 4, 39
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\netlify\functions\send-email-reset-session-spaces-error.js", "JavaScript", 0, 0, 29, 0, 0, 0, 4, 33
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\netlify\functions\send-email-to-admin-close-account-request.js", "JavaScript", 0, 0, 26, 0, 0, 0, 4, 30
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\netlify\functions\send-email-wallet-funds-not-added-error.js", "JavaScript", 0, 0, 25, 0, 0, 0, 4, 29
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\package.json", "JSON", 0, 0, 0, 0, 53, 0, 1, 54
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\public\manifest.json", "JSON", 0, 0, 0, 0, 32, 0, 1, 33
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\App.css", "CSS", 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\App.jsx", "JavaScript", 0, 0, 168, 0, 0, 0, 17, 185
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\assets\arrow-left-1.svg", "XML", 0, 0, 0, 16, 0, 0, 0, 16
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\assets\crayons.svg", "XML", 0, 0, 0, 152, 0, 0, 1, 153
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\assets\loader.svg", "XML", 0, 0, 0, 8, 0, 0, 0, 8
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\assets\pencil.svg", "XML", 0, 0, 0, 45, 0, 0, 1, 46
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\assets\stripe-logo.svg", "XML", 0, 0, 0, 1, 0, 4, 0, 5
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\components\custom-button\custom-button.component.jsx", "JavaScript", 0, 0, 5, 0, 0, 0, 3, 8
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\components\errors\error-fallback.component.jsx", "JavaScript", 0, 0, 43, 0, 0, 0, 9, 52
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\components\errors\errors-hooks\use-handle-show-error.js", "JavaScript", 0, 0, 40, 0, 0, 0, 8, 48
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\components\errors\get-session-prices-error.component.jsx", "JavaScript", 0, 0, 42, 0, 0, 0, 11, 53
